Date,Âge,Sexe,cooling type,Building_type,Climate,Season,Tair,tr,Tout,vel,RH,clo,Met,thermal_sensation,thermal_preference,TSV_3p,lat,lon
09-10-04,52,Female,Naturally Ventilated,Office,Cfb,Summer,27.9,28.1,23.6,0.22,33.0,0.5,1.2,3,-1.0,1.0,45.750000,4.850000
09-10-04,54,Female,Naturally Ventilated,Office,Cfb,Summer,28.4,28.6,23.6,0.1,33.0,0.47,1.45,2,0.0,1.0,45.750000,4.850000
09-10-04,33,Male,Naturally Ventilated,Office,Cfb,Summer,28.3,27.9,23.6,0.09,33.0,0.57,1.125,2,0.0,1.0,45.750000,4.850000
09-10-04,57,Female,Naturally Ventilated,Office,Cfb,Summer,28.7,28.7,25.1,0.04,36.0,0.6,1.2,3,-1.0,1.0,45.750000,4.850000
09-13-04,40,Female,Naturally Ventilated,Office,Cfb,Summer,26.1,26.6,25.1,0.04,43.0,0.5,1.275,0,0.0,0.0,45.750000,4.850000
09-13-04,40,Female,Naturally Ventilated,Office,Cfb,Summer,26.1,26.1,25.8,0.04,43.0,0.45,1.2,0,0.0,0.0,45.750000,4.850000
09-13-04,51,Female,Naturally Ventilated,Office,Cfb,Summer,23.2,24.0,25.8,0.05,49.0,0.44,1.4,1,-1.0,1.0,45.750000,4.850000
09-13-04,45,Male,Naturally Ventilated,Office,Cfb,Summer,22.4,23.3,23.1,0.04,49.0,0.6,1.2,-1,1.0,-1.0,45.750000,4.850000
09-13-04,31,Female,Naturally Ventilated,Office,Cfb,Summer,22.1,22.3,23.1,0.04,50.0,0.53,1.2,1,-1.0,1.0,45.750000,4.850000
09-13-04,35,Male,Naturally Ventilated,Office,Cfb,Summer,21.9,21.6,23.1,0.03,51.0,0.58,1.2,0,1.0,0.0,45.750000,4.850000
09-13-04,52,Female,Naturally Ventilated,Office,Cfb,Summer,24.9,25.3,23.1,0.02,46.0,0.4,1.2,1,-1.0,1.0,45.750000,4.850000
09-13-04,52,Female,Naturally Ventilated,Office,Cfb,Summer,25.7,26.0,22.5,0.03,44.0,0.51,1.225,1,0.0,1.0,45.750000,4.850000
09-13-04,48,Male,Naturally Ventilated,Office,Cfb,Summer,23.9,24.5,22.5,0.04,49.0,0.53,1.1,0,0.0,0.0,45.750000,4.850000
09-13-04,51,Female,Naturally Ventilated,Office,Cfb,Summer,24.4,25.0,22.5,0.03,48.0,0.64,1.1,1,0.0,1.0,45.750000,4.850000
09-13-04,53,Female,Naturally Ventilated,Office,Cfb,Summer,25.5,26.2,20.0,0.02,51.0,0.8,1.2,0,0.0,0.0,45.750000,4.850000
09-13-04,25,Female,Naturally Ventilated,Office,Cfb,Summer,24.5,25.3,20.0,0.04,49.0,0.87,1.15,-1,1.0,-1.0,45.750000,4.850000
09-13-04,24,Male,Naturally Ventilated,Office,Cfb,Summer,24.5,25.3,21.0,0.04,49.0,0.69,1.2,0,0.0,0.0,45.750000,4.850000
09-13-04,59,Male,Naturally Ventilated,Office,Cfb,Summer,24.3,24.9,21.0,0.05,48.0,0.63,1.1,0,0.0,0.0,45.750000,4.850000
09-13-04,24,Male,Naturally Ventilated,Office,Cfb,Summer,24.2,25.3,21.0,0.16,48.0,0.5,1.2,0,0.0,0.0,45.750000,4.850000
09-14-04,40,Female,Naturally Ventilated,Office,Cfb,Summer,25.9,27.1,21.0,0.06,52.0,0.53,1.4,2,-1.0,1.0,45.750000,4.850000
09-14-04,40,Female,Naturally Ventilated,Office,Cfb,Summer,26.3,26.3,21.8,0.04,50.0,0.48,1.2,2,-1.0,1.0,45.750000,4.850000
