Tair,tr,RH,vel,clo,Met,thermal_sensation,thermal_preference,Âge,Sexe,cooling type,Building_type,Tout,clim,Season,lat,lon,TSV_3p,Climate
21.2666670000000,21.5869970000000,40.09,0.151,0.88,1.031,-1,1,39.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,-1,BSh
21.6766670000000,21.8044450000000,39.5,0.126667000000000,0.72,1.117,0,0,38.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,0,BSh
22.3333330000000,22.2089230000000,35.47,0.166667000000000,0.6,1.138,0,0,26.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,0,BSh
22.3433330000000,22.1549330000000,37.71,0.195,0.53,1.117,-1,1,37.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,-1,BSh
22.78,22.5743310000000,37.2,0.162333000000000,0.7,1.289,-1,0,40.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,-1,BSh
22.4166670000000,22.5708960000000,38.33,0.136,0.6,1.538,0,0,32.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,0,BSh
22.5266670000000,22.7631000000000,38.9,0.124333000000000,0.65,1.375,2,-1,40.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,1,BSh
22.7933330000000,22.9002320000000,37.32,0.279,0.62,1.375,-1,1,33.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,-1,BSh
21.58,22.2064800000000,41.23,0.0733330000000000,0.96,1.031,1,0,22.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,1,BSh
21.64,21.9506400000000,41.34,0.107333000000000,0.69,1.718,2,-1,39.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,1,BSh
21.67,21.9678460000000,42.3,0.0986670000000000,0.5,1.658,0,0,50.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,0,BSh
21.8766670000000,22.1518450000000,40.89,0.0563330000000000,0.83,1.117,1,0,47.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,1,BSh
21.9433330000000,22.1654950000000,42.0,0.124,0.83,1.031,1,-1,50.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,1,BSh
23.0433330000000,23.425779000000,38.32,0.0553330000000000,0.7,1.387,-2,1,50.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,-1,BSh
23.1933330000000,23.2702980000000,38.89,0.0953330000000000,0.61,1.267,-1,1,36.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,-1,BSh
22.65,22.8443090000000,39.34,0.108667000000000,1.07,1.246,-2,1,25.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,-1,BSh
22.62,22.4626400000000,39.58,0.0753330000000000,0.69,1.336,0,0,45.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,0,BSh
22.1666670000000,22.3309330000000,41.02,0.0573330000000000,1.03,1.538,0,0,42.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,0,BSh
21.6666670000000,21.9665370000000,43.34,0.079,0.4,1.345,1,0,55.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,1,BSh
21.8566670000000,21.8897190000000,41.5,0.152333000000000,0.86,1.418,0,1,35.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,0,BSh
21.31,21.4515640000000,42.72,0.0756670000000000,0.65,1.095,1,-1,41.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,1,BSh
19.6866670000000,20.4126250000000,43.93,0.064,0.8,1.117,0,0,45.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,0,BSh
20.7766670000000,21.0719940000000,43.7,0.0716670000000000,0.57,1.418,1,0,24.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,1,BSh
21.4933330000000,21.6700390000000,42.16,0.0740000000000000,1.09,1.516,2,0,45.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,1,BSh
20.7966670000000,20.9536570000000,42.92,0.116,1.01,1.418,0,1,29.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,0,BSh
21.2533330000000,21.1867060000000,42.56,0.0706670000000000,1.12,1.387,1,0,22.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,1,BSh
20.6,20.91496700000,43.28,0.0516670000000000,1.18,1.345,1,0,38.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,1,BSh
21.0733330000000,21.2386030000000,40.65,0.110667000000000,0.69,1.246,-1,1,26.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,-1,BSh
21.4333330000000,21.4824460000000,42.35,0.112667000000000,0.65,1.267,-1,1,39.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,-1,BSh
21.76,21.5426070000000,42.78,0.061,0.87,1.396,-1,0,57.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,-1,BSh
22.08,22.1197540000000,40.91,0.0876670000000000,0.44,1.418,1,0,34.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,1,BSh
22.2133330000000,22.5393800000000,40.35,0.0826670000000000,0.68,1.418,0,0,49.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,0,BSh
22.36,22.7651910000000,40.97,0.192,0.56,1.478,0,0,53.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,0,BSh
22.52,22.532333000000,40.73,0.217667000000000,0.66,1.508,1,0,46.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,1,BSh
22.0133330000000,22.3488530000000,42.81,0.203,0.46,1.203,0,0,43.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,0,BSh
21.2866670000000,21.3473400000000,41.46,0.193333000000000,0.61,1.396,-1,1,23.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,-1,BSh
21.5366670000000,22.2648080000000,43.8,0.245333000000000,0.65,1.216,-1,1,37.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,-1,BSh
21.99,22.4524190000000,42.58,0.116667000000000,0.65,1.418,1,0,51.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,1,BSh
20.9366670000000,21.7644650000000,46.13,0.200667000000000,0.83,1.546,0,0,23.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,0,BSh
20.85,21.1294090000000,46.37,0.158,0.86,1.117,-1,1,25.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,-1,BSh
21.61,21.6684210000000,44.79,0.198667000000000,0.91,1.628,1,0,28.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,1,BSh
21.1733330000000,21.2585390000000,45.15,0.159667000000000,0.98,1.598,2,-1,28.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,1,BSh
21.6633330000000,21.6391560000000,43.57,0.141333000000000,0.68,1.43,0,0,24.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,0,BSh
21.6233330000000,21.6693950000000,44.02,0.118667000000000,1.01,1.031,0,0,36.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,0,BSh
20.62,21.4176930000000,44.54,0.170333000000000,0.79,1.203,1,0,45.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,1,BSh
21.0533330000000,21.4365970000000,43.83,0.173333000000000,0.89,1.718,1,0,48.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,1,BSh
20.9933330000000,21.1167550000000,44.02,0.129,1.12,1.375,1,0,57.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,1,BSh
21.9233330000000,21.9997490000000,40.97,0.0933330000000000,0.68,1.095,0,0,32.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,0,BSh
21.3766670000000,21.8374260000000,40.66,0.189,0.8,1.216,1,0,38.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,1,BSh
