Date,Âge,Sexe,cooling type,Building_type,Climate,Season,Tair,tr,Tout,vel,RH,clo,Met,thermal_sensation,thermal_preference,TSV_3p,lat,lon,Trm_ema_28,Tout_ema_28,RHout_ema_28,precip_ema_28,sunshine_ema_h_28,wind_ema_28,Trm_ema_14,Tout_ema_14,RHout_ema_14,precip_ema_14,sunshine_ema_h_14,wind_ema_14,Trm_ema_7,Tout_ema_7,RHout_ema_7,precip_ema_7,sunshine_ema_h_7,wind_ema_7
08-11-04,50,female,naturally ventilated,office,Cfb,summer,26.6,28.4,28.1,0.09,59.0,0.44,1.275,0,0.0,0.0,45.75,4.85,22.823014,22.823014,62.881028,2.610012,12.175394,9.212364,23.600804,23.600804,63.478728,4.145332,11.437994,7.995151,23.676264,23.676264,68.56684,7.158081,9.981732,8.335337
08-11-04,59,female,naturally ventilated,office,Cfb,summer,28.4,28.0,28.1,0.03,52.0,0.43,1.4,2,-1.0,1.0,45.75,4.85,22.823014,22.823014,62.881028,2.610012,12.175394,9.212364,23.600804,23.600804,63.478728,4.145332,11.437994,7.995151,23.676264,23.676264,68.56684,7.158081,9.981732,8.335337
08-11-04,26,male,naturally ventilated,office,Cfb,summer,28.6,29.1,25.2,0.08,48.0,0.44,1.2,1,-1.0,1.0,45.75,4.85,22.823014,22.823014,62.881028,2.610012,12.175394,9.212364,23.600804,23.600804,63.478728,4.145332,11.437994,7.995151,23.676264,23.676264,68.56684,7.158081,9.981732,8.335337
08-11-04,28,female,naturally ventilated,office,Cfb,summer,29.0,29.6,25.2,0.1,47.0,0.46,1.325,1,-1.0,1.0,45.75,4.85,22.823014,22.823014,62.881028,2.610012,12.175394,9.212364,23.600804,23.600804,63.478728,4.145332,11.437994,7.995151,23.676264,23.676264,68.56684,7.158081,9.981732,8.335337
08-11-04,51,male,naturally ventilated,office,Cfb,summer,29.5,30.1,25.5,0.49,46.0,0.66,1.2,2,-1.0,1.0,45.75,4.85,22.823014,22.823014,62.881028,2.610012,12.175394,9.212364,23.600804,23.600804,63.478728,4.145332,11.437994,7.995151,23.676264,23.676264,68.56684,7.158081,9.981732,8.335337
08-11-04,27,male,naturally ventilated,office,Cfb,summer,29.9,30.4,25.5,0.33,47.0,0.51,1.3,1,0.0,1.0,45.75,4.85,22.823014,22.823014,62.881028,2.610012,12.175394,9.212364,23.600804,23.600804,63.478728,4.145332,11.437994,7.995151,23.676264,23.676264,68.56684,7.158081,9.981732,8.335337
08-11-04,23,male,naturally ventilated,office,Cfb,summer,28.3,29.6,25.5,0.29,43.0,0.7,1.15,1,-1.0,1.0,45.75,4.85,22.823014,22.823014,62.881028,2.610012,12.175394,9.212364,23.600804,23.600804,63.478728,4.145332,11.437994,7.995151,23.676264,23.676264,68.56684,7.158081,9.981732,8.335337
08-11-04,49,female,naturally ventilated,office,Cfb,summer,27.9,29.3,25.5,0.38,53.0,0.5,1.2,1,-1.0,1.0,45.75,4.85,22.823014,22.823014,62.881028,2.610012,12.175394,9.212364,23.600804,23.600804,63.478728,4.145332,11.437994,7.995151,23.676264,23.676264,68.56684,7.158081,9.981732,8.335337
08-11-04,39,female,naturally ventilated,office,Cfb,summer,26.9,26.6,21.8,0.05,56.0,0.46,1.2,0,0.0,0.0,45.75,4.85,22.823014,22.823014,62.881028,2.610012,12.175394,9.212364,23.600804,23.600804,63.478728,4.145332,11.437994,7.995151,23.676264,23.676264,68.56684,7.158081,9.981732,8.335337
08-11-04,25,male,naturally ventilated,office,Cfb,summer,29.4,30.0,23.2,0.38,44.0,0.53,1.075,0,0.0,0.0,45.75,4.85,22.823014,22.823014,62.881028,2.610012,12.175394,9.212364,23.600804,23.600804,63.478728,4.145332,11.437994,7.995151,23.676264,23.676264,68.56684,7.158081,9.981732,8.335337
08-11-04,30,male,naturally ventilated,office,Cfb,summer,29.1,29.4,23.2,0.39,49.0,0.69,1.1,1,-1.0,1.0,45.75,4.85,22.823014,22.823014,62.881028,2.610012,12.175394,9.212364,23.600804,23.600804,63.478728,4.145332,11.437994,7.995151,23.676264,23.676264,68.56684,7.158081,9.981732,8.335337
08-11-04,47,female,naturally ventilated,office,Cfb,summer,29.7,30.3,23.2,0.39,43.0,0.5,1.15,1,-1.0,1.0,45.75,4.85,22.823014,22.823014,62.881028,2.610012,12.175394,9.212364,23.600804,23.600804,63.478728,4.145332,11.437994,7.995151,23.676264,23.676264,68.56684,7.158081,9.981732,8.335337
