Tair,tr,RH,vel,clo,Met,Âge,Sexe,Tout,Season,cooling type,Building_type,top,tg,thermal_sensation,thermal_preference,Climat,city,country,lat,lon,year,Date,TSV_3p,Climate,Trm_ema_28,Tout_ema_28,RHout_ema_28,precip_ema_28,sunshine_ema_h_28,wind_ema_28,Trm_ema_14,Tout_ema_14,RHout_ema_14,precip_ema_14,sunshine_ema_h_14,wind_ema_14,Trm_ema_7,Tout_ema_7,RHout_ema_7,precip_ema_7,sunshine_ema_h_7,wind_ema_7
23.48,23.63,64.0,0.14,0.53,1.14215017064846,59.0,male,20.8,cool/dry,air conditioned,office,23.56,,0,-1,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-16,0,Aw,20.946889927276565,20.946889927276565,76.17324553182782,0.4459858119924158,9.632254353816828,8.026319595935654,19.87467500593577,19.87467500593577,75.51352592255157,0.4763914544427684,9.442204723836293,7.047164780255384,19.553930379915982,19.553930379915982,76.01446563377976,1.3770995222730562,9.21448344628016,6.683013922069222
23.58,23.78,64.0,0.1,0.53,1.24146757679181,52.0,female,20.8,cool/dry,air conditioned,office,23.69,,0,0,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-16,0,Aw,20.946889927276565,20.946889927276565,76.17324553182782,0.4459858119924158,9.632254353816828,8.026319595935654,19.87467500593577,19.87467500593577,75.51352592255157,0.4763914544427684,9.442204723836293,7.047164780255384,19.553930379915982,19.553930379915982,76.01446563377976,1.3770995222730562,9.21448344628016,6.683013922069222
23.94,24.07,63.0,0.1,0.36,1.39044368600683,33.0,male,20.8,cool/dry,air conditioned,office,24.0,,-1,-1,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-16,-1,Aw,20.946889927276565,20.946889927276565,76.17324553182782,0.4459858119924158,9.632254353816828,8.026319595935654,19.87467500593577,19.87467500593577,75.51352592255157,0.4763914544427684,9.442204723836293,7.047164780255384,19.553930379915982,19.553930379915982,76.01446563377976,1.3770995222730562,9.21448344628016,6.683013922069222
24.14,24.4,62.0,0.1,0.49,0.993174061433447,50.0,male,20.8,cool/dry,air conditioned,office,24.29,,0,0,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-16,0,Aw,20.946889927276565,20.946889927276565,76.17324553182782,0.4459858119924158,9.632254353816828,8.026319595935654,19.87467500593577,19.87467500593577,75.51352592255157,0.4763914544427684,9.442204723836293,7.047164780255384,19.553930379915982,19.553930379915982,76.01446563377976,1.3770995222730562,9.21448344628016,6.683013922069222
23.32,23.5,64.0,0.1,0.29,0.993174061433447,43.0,male,19.75,cool/dry,air conditioned,office,23.43,,0,-1,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-17,0,Aw,20.864484666944442,20.864484666944442,76.18995949014514,0.6315804500110695,9.656006617208266,7.787199498683683,20.04748419198189,20.04748419198189,75.81383821736016,0.4128725938503993,9.483761887719691,6.560524152422375,19.464664672035724,19.464664672035724,72.74143388215452,0.09843749832361937,9.450022971630096,6.4528656143229455
23.47,23.58,65.0,0.25,0.57,1.34078498293515,27.0,female,19.75,cool/dry,air conditioned,office,23.53,,-1,0,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-17,-1,Aw,20.864484666944442,20.864484666944442,76.18995949014514,0.6315804500110695,9.656006617208266,7.787199498683683,20.04748419198189,20.04748419198189,75.81383821736016,0.4128725938503993,9.483761887719691,6.560524152422375,19.464664672035724,19.464664672035724,72.74143388215452,0.09843749832361937,9.450022971630096,6.4528656143229455
23.37,23.45,65.0,0.2,0.37,1.24146757679181,34.0,male,19.75,cool/dry,air conditioned,office,23.41,,-1,0,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-17,-1,Aw,20.864484666944442,20.864484666944442,76.18995949014514,0.6315804500110695,9.656006617208266,7.787199498683683,20.04748419198189,20.04748419198189,75.81383821736016,0.4128725938503993,9.483761887719691,6.560524152422375,19.464664672035724,19.464664672035724,72.74143388215452,0.09843749832361937,9.450022971630096,6.4528656143229455
22.78,23.08,67.0,0.14,0.59,1.19180887372014,45.0,female,19.75,cool/dry,air conditioned,office,22.94,,-1,0,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-17,-1,Aw,20.864484666944442,20.864484666944442,76.18995949014514,0.6315804500110695,9.656006617208266,7.787199498683683,20.04748419198189,20.04748419198189,75.81383821736016,0.4128725938503993,9.483761887719691,6.560524152422375,19.464664672035724,19.464664672035724,72.74143388215452,0.09843749832361937,9.450022971630096,6.4528656143229455
23.44,23.82,65.0,0.14,0.37,1.24146757679181,40.0,male,19.75,cool/dry,air conditioned,office,23.64,,1,0,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-17,1,Aw,20.864484666944442,20.864484666944442,76.18995949014514,0.6315804500110695,9.656006617208266,7.787199498683683,20.04748419198189,20.04748419198189,75.81383821736016,0.4128725938503993,9.483761887719691,6.560524152422375,19.464664672035724,19.464664672035724,72.74143388215452,0.09843749832361937,9.450022971630096,6.4528656143229455
23.89,24.1,64.0,0.16,0.32,1.58907849829352,40.0,male,19.75,cool/dry,air conditioned,office,23.99,,1,0,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-17,1,Aw,20.864484666944442,20.864484666944442,76.18995949014514,0.6315804500110695,9.656006617208266,7.787199498683683,20.04748419198189,20.04748419198189,75.81383821736016,0.4128725938503993,9.483761887719691,6.560524152422375,19.464664672035724,19.464664672035724,72.74143388215452,0.09843749832361937,9.450022971630096,6.4528656143229455
24.04,24.45,63.0,0.17,0.27,1.34078498293515,19.0,female,19.75,cool/dry,air conditioned,office,24.25,,-1,0,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-17,-1,Aw,20.864484666944442,20.864484666944442,76.18995949014514,0.6315804500110695,9.656006617208266,7.787199498683683,20.04748419198189,20.04748419198189,75.81383821736016,0.4128725938503993,9.483761887719691,6.560524152422375,19.464664672035724,19.464664672035724,72.74143388215452,0.09843749832361937,9.450022971630096,6.4528656143229455
23.99,24.0,63.0,0.15,0.36,1.36569965870307,40.0,male,19.75,cool/dry,air conditioned,office,24.0,,2,-1,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-17,1,Aw,20.864484666944442,20.864484666944442,76.18995949014514,0.6315804500110695,9.656006617208266,7.787199498683683,20.04748419198189,20.04748419198189,75.81383821736016,0.4128725938503993,9.483761887719691,6.560524152422375,19.464664672035724,19.464664672035724,72.74143388215452,0.09843749832361937,9.450022971630096,6.4528656143229455
23.19,23.11,66.0,0.12,0.71,1.39044368600683,36.0,male,19.75,cool/dry,air conditioned,office,23.15,,-1,0,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-17,-1,Aw,20.864484666944442,20.864484666944442,76.18995949014514,0.6315804500110695,9.656006617208266,7.787199498683683,20.04748419198189,20.04748419198189,75.81383821736016,0.4128725938503993,9.483761887719691,6.560524152422375,19.464664672035724,19.464664672035724,72.74143388215452,0.09843749832361937,9.450022971630096,6.4528656143229455
